ChannelTitle,Title,Published_date,Views,Likes,Comments
blue brown,taylor series chapter essence calculus,2017-05-07,4140871,113874,4057
blue brown,essence linear algebra preview,2016-08-05,2460817,43363,1197
blue brown,triangle power,2016-06-26,782742,29635,1565
freecodecamp org,dr chuck reads c programming classic book kernigan ritchie,2022-08-18,606770,18919,404
freecodecamp org,build shopping cart react typescript tutorial,2021-01-21,225036,5464,209
freecodecamp org,build brain computer app react native part live coding jesse,2020-03-21,23053,406,11
freecodecamp org,database design course learn design plan database beginners,2018-08-31,2914786,69892,1466
freecodecamp org,finishing react site live coding jesse,2017-07-19,1905,20,8
freecodecamp org,closures beau teaches javascript,2017-03-09,75025,1610,70
freecodecamp org,software engineer dev mastery founder bill sourour quincy interviews devs,2017-02-12,8758,249,14
freecodecamp org,chrome dev tools console tab,2015-08-24,13643,110,3
alex analyst,data analyst vs data scientist responsibilities salaries skills education,2023-09-19,45177,1107,53
alex analyst,sql basics tutorial beginners group order statements,2020-03-03,332740,8196,235
freecodecamp org,new react exploring actions use compiler,2024-06-25,31440,1057,35
freecodecamp org,machine learning foundations course regression analysis,2023-05-03,144575,4884,124
freecodecamp org,flutter mobile app node js back end tutorial code amazon clone full course,2022-06-09,290963,6902,278
freecodecamp org,intro object oriented programming crash course,2020-09-30,955729,27455,696
freecodecamp org,dreadhalls unity tutorial cs intro game development,2019-02-11,14236,240,6
freecodecamp org,creating editing react components p live coding jesse,2018-02-16,2381,37,5
freecodecamp org,react nextjs css live coding jesse,2017-07-11,4815,62,0
freecodecamp org,proxies es beau teaches javascript,2017-02-17,13364,270,7
freecodecamp org,azure ai engineer associate certification ai full course pass exam,2024-09-09,35663,1437,77
freecodecamp org,aws certified cloud practitioner certification course clf c pass exam,2023-12-05,1010815,18289,957
freecodecamp org,command line hacking wire bandit walkthrough ctf wargame,2022-11-09,106578,2863,72
freecodecamp org,redux toolkit tutorial javascript state management library,2022-04-20,246032,5305,205
freecodecamp org,nodejs user auth passportjs p live coding jesse,2017-10-20,5256,56,12
blue brown,light quantum mechanics minutephysics,2017-09-13,1936043,49790,1796
freecodecamp org,resume projects,2024-02-20,38805,1648,41
freecodecamp org,openai assistants api course beginners,2024-01-22,388056,5379,218
freecodecamp org,build online store using aws react stripe,2020-07-27,163162,4197,195
freecodecamp org,clean code functions part beau teaches javascript,2017-02-19,52926,1029,30
alex analyst,get promoted data analyst alex analyst show episode,2024-04-09,8425,262,83
alex analyst,sql vs nosql difference,2022-05-03,60715,1828,67
alex analyst,k subscriber play button unboxing,2021-08-31,2663,241,96
alex analyst,top reasons data analytics good career choice,2020-09-08,44491,1319,73
freecodecamp org,farm stack course full stack development fastapi react mongodb,2024-09-18,45394,1663,78
freecodecamp org,non technical intro generative ai,2024-06-17,42252,1337,35
freecodecamp org,easily automate business tasks code automation course,2024-03-28,160922,4141,82
freecodecamp org,azure solutions architect expert certification course az pass exam,2023-11-10,110359,2371,67
freecodecamp org,css tutorial full course beginners,2022-08-30,2043960,35855,1135
freecodecamp org,net microservices full course beginners,2022-02-25,390067,7713,188
